year,gd_al_product_output,export,policy_shock,data_source_output,data_source_export,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
2015.0,537.8,71.9365,0.0,广东统计年鉴,广东统计年鉴,,,,
2016.0,558.44,63.3839,0.0,广东统计年鉴,广东统计年鉴,,,,
2017.0,538.4,66.7135,0.0,广东统计年鉴,广东统计年鉴,,,,
2018.0,503.57,76.6885,0.0,广东统计年鉴,广东统计年鉴,,,,
2019.0,470.49,111.7715,0.0,广东统计年鉴,广东统计年鉴,,,,
2020.0,528.32,83.1648,1.0,广东统计年鉴,广东统计年鉴,,,,
2021.0,510.11,90.985,1.0,广东统计年鉴,广东统计年鉴,,,,
2022.0,553.07,101.3425,1.0,广东统计年鉴,广东统计年鉴,,,,
2023.0,555.73,94.2817,1.0,广东统计年鉴,广东统计年鉴,,,,
2024.0,545.73,103.7259,1.0,广东统计年鉴,广东统计年鉴,,,,
2025.0,495.14,103.7259,1.0,国家统计局,,,,,
,495.14,103.7259,,,,,,数据,数据单位
,495.14,103.7259,,,,,,gd_al_product_output,万吨
,495.14,103.7259,,,,,,export,万吨
,495.14,103.7259,,,,,,policy_shock,是否启用
