province_code,province_name,year,output,data_source_output,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
YN,云南,2015.0,128.46,缺失,,,,
GX,广西,2015.0,57.56,广西统计年鉴2024,,,,
NMG,内蒙古,2015.0,259.64,聚汇数据,,,,
HN,河南,2015.0,325.93,河南统计年鉴2015,,,,
SD,山东,2015.0,1064.51,国家统计局,,,,
YN,云南,2016.0,128.46,2016云南统计年鉴,,,,
NMG,内蒙古,2016.0,337.5,内蒙古统计年鉴2016,,,,
GX,广西,2016.0,78.35,广西统计年鉴2024,,,,
HN,河南,2016.0,314.78,河南统计年鉴2016,,,,
SD,山东,2016.0,1118.5,国家统计局,,,,
SD,山东,2017.0,1066.58,国家统计局,,,,
HN,河南,2017.0,302.15,河南统计年鉴2017,,,,
NMG,内蒙古,2017.0,393.7,内蒙古统计年鉴2017,,,,
GX,广西,2017.0,120.55,广西统计年鉴2024,,,,
YN,云南,2017.0,129.23,2017云南统计年鉴,,,,
NMG,内蒙古,2018.0,494.7,内蒙古统计年鉴2018,,,,
HN,河南,2018.0,236.85,河南统计年鉴2018,,,,
SD,山东,2018.0,852.47,国家统计局,,,,
GX,广西,2018.0,167.6,广西统计年鉴2024,,,,
YN,云南,2018.0,131.44,2018云南统计年鉴,,,,
GX,广西,2019.0,227.8,广西统计年鉴2024,,,,
YN,云南,2019.0,150.61,2019云南统计年鉴,,,,
HN,河南,2019.0,185.75,河南统计年鉴2019,,,,
SD,山东,2019.0,984.82,国家统计局,,,,
NMG,内蒙古,2019.0,567.2,内蒙古统计年鉴2019,,,,
NMG,内蒙古,2020.0,574.21,内蒙古统计年鉴2020,,,,
GX,广西,2020.0,217.76,广西统计年鉴2024,,,,
YN,云南,2020.0,259.21,2020云南统计年鉴,,,,
SD,山东,2020.0,1137.87,国家统计局,,,,
HN,河南,2020.0,176.48,河南统计年鉴2020,,,,
NMG,内蒙古,2021.0,579.21,内蒙古统计年鉴2021,,,,
GX,广西,2021.0,230.44,广西统计年鉴2024,,,,
SD,山东,2021.0,1320.5,国家统计局,,,,
HN,河南,2021.0,169.5,河南统计年鉴2021,,,,
YN,云南,2021.0,331.25,2021云南统计年鉴,,,,
NMG,内蒙古,2022.0,627.77,内蒙古统计年鉴2022,,,,
YN,云南,2022.0,415.52,2022云南统计年鉴,,,,
GX,广西,2022.0,196.58,广西统计年鉴2024,,,,
HN,河南,2022.0,199.37,河南统计年鉴2022,,,,
SD,山东,2022.0,1343.03,国家统计局,,,,
HN,河南,2023.0,195.35,河南统计年鉴2023,,,,
SD,山东,2023.0,1349.3,国家统计局,,,,
GX,广西,2023.0,281.92,广西统计年鉴2024,,,,
NMG,内蒙古,2023.0,625.7,内蒙古统计年鉴2023,,,,
YN,云南,2023.0,452.43,2023云南统计年鉴,,,,
YN,云南,2024.0,452.43,缺失,,,,
GX,广西,2024.0,281.92,缺失,,,,
NMG,内蒙古,2024.0,696.7,内蒙古统计年鉴2024,,,,
SD,山东,2024.0,1469.86,国家统计局,,,,
HN,河南,2024.0,197.35,河南统计年鉴2024,,,,
GX,广西,2025.0,281.92,缺失,,,,
YN,云南,2025.0,452.43,缺失,,,,
NMG,内蒙古,2025.0,696.7,,,,,
SD,山东,2025.0,1420.94,国家统计局,,,,
,,,,,,,数据,数据单位
,,,,,,,output,万吨
