province_code,year,province_name,output,elec_price,grid_cef,policy_dummy,al_price,gd_al_product_output,export,policy_shock,treat,post,did
GX,2015,广西,57.56,0.514,0.3573,0.0,12206.0,537.8,71.9365,0.0,1,0,0
GX,2016,广西,78.35,0.5142,0.3684,0.0,12344.0,558.44,63.3839,0.0,1,0,0
GX,2017,广西,120.55,0.5135,0.3812,1.0,14631.0,538.4,66.7135,0.0,1,0,0
GX,2018,广西,167.6,0.5113,0.394,1.0,14293.0,503.57,76.6885,0.0,1,0,0
GX,2019,广西,227.8,0.51,0.386,1.0,13925.0,470.49,111.7715,0.0,1,0,0
GX,2020,广西,217.76,0.514,0.518,1.0,14101.0,528.32,83.1648,1.0,1,1,1
GX,2021,广西,230.44,0.5235,0.5154,1.0,18923.0,510.11,90.985,1.0,1,1,1
GX,2022,广西,196.58,0.53,0.4044,1.0,19929.0,553.07,101.3425,1.0,1,1,1
GX,2023,广西,281.92,0.536,0.4476,1.0,18687.0,555.73,94.2817,1.0,1,1,1
GX,2024,广西,281.92,0.5448,0.421,1.0,19952.0,545.73,103.7259,1.0,1,1,1
GX,2025,广西,281.92,0.5501,0.418,1.0,20732.0,495.14,103.7259,1.0,1,1,1
HN,2015,河南,325.93,0.7467,0.8116,0.0,12206.0,537.8,71.9365,0.0,0,0,0
HN,2016,河南,314.78,0.76,0.8027,0.0,12344.0,558.44,63.3839,0.0,0,0,0
HN,2017,河南,302.15,0.7425,0.7845,0.0,14631.0,538.4,66.7135,0.0,0,0,0
HN,2018,河南,236.85,0.6633,0.791,0.0,14293.0,503.57,76.6885,0.0,0,0,0
HN,2019,河南,185.75,0.62,0.773,0.0,13925.0,470.49,111.7715,0.0,0,0,0
HN,2020,河南,176.48,0.605,0.756,0.0,14101.0,528.32,83.1648,1.0,0,1,0
HN,2021,河南,169.5,0.6,0.6369,0.0,18923.0,510.11,90.985,1.0,0,1,0
HN,2022,河南,199.37,0.6,0.6058,0.0,19929.0,553.07,101.3425,1.0,0,1,0
HN,2023,河南,195.35,0.6,0.5897,0.0,18687.0,555.73,94.2817,1.0,0,1,0
HN,2024,河南,197.35,0.6,0.575,0.0,19952.0,545.73,103.7259,1.0,0,1,0
NMG,2015,内蒙古,259.64,0.3989,0.7939,0.0,12206.0,537.8,71.9365,0.0,1,0,0
NMG,2016,内蒙古,337.5,0.4014,0.7786,0.0,12344.0,558.44,63.3839,0.0,1,0,0
NMG,2017,内蒙古,393.7,0.4025,0.7413,1.0,14631.0,538.4,66.7135,0.0,1,0,0
NMG,2018,内蒙古,494.7,0.4021,0.753,1.0,14293.0,503.57,76.6885,0.0,1,0,0
NMG,2019,内蒙古,567.2,0.4036,0.726,1.0,13925.0,470.49,111.7715,0.0,1,0,0
NMG,2020,内蒙古,574.21,0.4038,1.049,1.0,14101.0,528.32,83.1648,1.0,1,1,1
NMG,2021,内蒙古,579.21,0.4039,0.7025,1.0,18923.0,510.11,90.985,1.0,1,1,1
NMG,2022,内蒙古,627.77,0.4042,0.6849,1.0,19929.0,553.07,101.3425,1.0,1,1,1
NMG,2023,内蒙古,625.7,0.4045,0.6479,1.0,18687.0,555.73,94.2817,1.0,1,1,1
NMG,2024,内蒙古,696.7,0.4043,0.632,1.0,19952.0,545.73,103.7259,1.0,1,1,1
NMG,2025,内蒙古,696.7,0.404,0.628,1.0,20732.0,495.14,103.7259,1.0,1,1,1
SD,2015,山东,1064.51,0.775,0.8555,0.0,12206.0,537.8,71.9365,0.0,0,0,0
SD,2016,山东,1118.5,0.77,0.8593,0.0,12344.0,558.44,63.3839,0.0,0,0,0
SD,2017,山东,1066.58,0.77,0.8421,0.0,14631.0,538.4,66.7135,0.0,0,0,0
SD,2018,山东,852.47,0.7267,0.861,0.0,14293.0,503.57,76.6885,0.0,0,0,0
SD,2019,山东,984.82,0.625,0.824,0.0,13925.0,470.49,111.7715,0.0,0,0,0
SD,2020,山东,1137.87,0.5975,0.785,0.0,14101.0,528.32,83.1648,1.0,0,1,0
SD,2021,山东,1320.5,0.59,0.6838,0.0,18923.0,510.11,90.985,1.0,0,1,0
SD,2022,山东,1343.03,0.59,0.641,0.0,19929.0,553.07,101.3425,1.0,0,1,0
SD,2023,山东,1349.3,0.7108,0.6191,0.0,18687.0,555.73,94.2817,1.0,0,1,0
SD,2024,山东,1469.86,0.7508,0.608,0.0,19952.0,545.73,103.7259,1.0,0,1,0
SD,2025,山东,1420.94,0.75,0.605,0.0,20732.0,495.14,103.7259,1.0,0,1,0
YN,2015,云南,128.46,0.5149,0.1116,0.0,12206.0,537.8,71.9365,0.0,1,0,0
YN,2016,云南,128.46,0.5156,0.1082,1.0,12344.0,558.44,63.3839,0.0,1,0,0
YN,2017,云南,129.23,0.5137,0.0995,1.0,14631.0,538.4,66.7135,0.0,1,0,0
YN,2018,云南,131.44,0.5115,0.092,1.0,14293.0,503.57,76.6885,0.0,1,0,0
YN,2019,云南,150.61,0.5091,0.102,1.0,13925.0,470.49,111.7715,0.0,1,0,0
YN,2020,云南,259.21,0.5145,0.148,1.0,14101.0,528.32,83.1648,1.0,1,1,1
YN,2021,云南,331.25,0.5236,0.1235,1.0,18923.0,510.11,90.985,1.0,1,1,1
YN,2022,云南,415.52,0.5298,0.1073,1.0,19929.0,553.07,101.3425,1.0,1,1,1
YN,2023,云南,452.43,0.5352,0.1333,1.0,18687.0,555.73,94.2817,1.0,1,1,1
YN,2024,云南,452.43,0.5452,0.129,1.0,19952.0,545.73,103.7259,1.0,1,1,1
YN,2025,云南,452.43,0.5506,0.125,1.0,20732.0,495.14,103.7259,1.0,1,1,1
